convenio;cnpj;cod_ans
A DEFINIR;;"999999"
A I S ASSISTENCIA ODONTOLOGICA REUNIDA S/C LTDA;"43363241000108";"344818"
A I S ASSISTENCIA ODONTOLOGICA REUNIDA S/C LTDA.;"43363241000108";"344818"
A.M.M.P;;"10"
A.M.R. ( OESTE );"71.737.001/0001-61";"414298"
AAFBB;;"999999"
AASMED;"";"222222"
AAUG BRASIL;"84835552000100";"402753"
ABAAB;"12.034.177/0001-98";"318359"
ABAS;;"000000"
ABAS 15;"02030246000131 ";"304131"
ABBRACCIO;"05575533000115";"000000"
ABC;;"999999"
ABEB;"17505793000101 ";"314668"
ABEM; 03819843000102 ;"411981"
ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASI;"17.505.793/0001-01";"314668"
ABESP ASSISTENCIA M?DICA LTDA. ;?69262764000151 ;"401501"
ABESP ASSISTENCIA MÉDICA LTDA.; 69262764000151 ;"401501"
ABET;"63089205000105 ";"338915"
ABET - Alergista ;"63089205000105 ";"338915"
ABET CORPORATE;;"338915"
ABET CORPORATE;"63.089.205/0001-05";"338915"
ABET REEMBOLSO;"";"000030"
Abet/Plantel Dermatologista;"63089205000105 ";"338915"
ABIMED;;"999999"
ABMED CONVENIO MEDICO HOSPITALAR LTDA;"48776777000179";"000000"
ABP IURD; 03124614000173 ;"410454"
ABRA-SAÚDE = SINAM;"";"000102"
Abraco;"";"111111"
ABRAS - PARCERIA;"13.185.221/0001-23";-
ABRASA;"";"000000"
ABRASA - AGENCIA BRASILEIRA DE SERVIÇOS E SAÚDE;"111111111111111111";"000000"
ABRASE REEMBOLSO;"";"000001"
ABRASIVOS - SINDICATO DOS TRAB. IND.ABRASIVOS DE SAO PAULO;"111111111111111111";"000000"
Abril Comunicações S/A;"111111111111111111";"222222"
ABS ASSIST?NCIA BUCAL SERVI?OS ;?63501316000187 ;"306347"
ABS ASSISTÊNCIA BUCAL SERVIÇOS;"63501316000187 ";"306347"
ACCESS;-;-
ACCESS DENTAL; 04222235000189;"414654"
ACELOR MITRAL;"";"000000"
ACERVE;;"999999"
ACESITA; 33390170000189 ;"316814"
ACESSO;;"642038"
Acesso Saúde;"07.282.880/0004-28";"000000"
ACESSO SAUDE;"12.908.202/0001-15";"000000"
Acheson;;"4"
ACIM - UNISA?DE ;?89761670000134 ;"333867"
ACIM - UNISAÚDE; 89761670000134;"333867"
ACIPA;;"001010"
ACISAP;;"123456"
Aclimed;"";"111111"
ACM;"01.905.043/0001-89";"000000"
ACRESP Associação Cultural e Recreativa dos Servidores Públicos;"58.415.852/0001-20";-
ACSPM - associação Cabos e Soldados da Policia MIlitar de Sãp Paulo; 61.810.677/0001-8;"111111"
ADEM ASSISTENCIA DENT?RIA EMPRESARIAL SC LTDA ;?58794405000129 ;"403300"
ADEM ASSISTENCIA DENTÁRIA EMPRESARIAL SC LTDA; 58794405000129;"403300"
ADESG;;"999999"
ADMED ASSESSORIA E ADMINISTRA?AO ;?01035838000183 ;"318493"
ADMED ASSESSORIA E ADMINISTRAÇAO; 01035838000183 ;"318493"
ADMEDICO;"42780759000184 ";"384003"
ADMISSIONAL CASSI;"33.719.485/0001-27";"346659"
ADP SYSTEMS; 47680798000123 ;"377252"
ADRESS S?O PAULO ASSISTENCIA MEDICA S/C LTDA ;?03508797000120 ;"410161"
ADRESS SÃO PAULO ASSISTENCIA MEDICA ;"03508797000120 ";"410161"
ADRESS SÃO PAULO ASSISTENCIA MEDICA S/C LTDA ; 03508797000120 ;"410161"
ADVANCE PLANOS DE SAÚDE LTDA;"02041808000142 ";"335657"
ADVESP;;"111111"
ADVESP REEMBOLSO;"";"000002"
AECO - ASSOC. DOS EMPREGADOS DA COPASA;"18777383000174 ";"356140"
AECO - ASSOCIA??O DOS EMPREGADOS DA COPASA ;?18777383000174 ;"356140"
AECO - ASSOCIAÇÃO DOS EMPREGADOS DA COPASA ; 18777383000174 ;"356140"
AERGO PLANDENTAL S/C LTDA; 62481619000112;"301850"
Aeronautica;"";"000000"
AESP ODONTO;"03694367000140 ";"413283"
AFABB;"";"000000"
AFABB;"05.151.545.0001-12";"000000"
AFALESC-SA?DE ;?01645626000118 ;"350940"
AFALESC-SAÚDE; 01645626000118 ;"350940"
AFEMI;"46.520.714/0001-21";"348861"
AFEPESP;"";"000000"
AFFEAM SA?DE ;?04503249000170 ;"388092"
AFFEAM SAÚDE;"04503249000170 ";"388092"
AFFEGO-SA?DE ;?00299149000113 ;"306754"
AFFEGO-SAÚDE;"00299149000113 ";"306754"
AFFEMAT;"03216520000124 ";"334685"
AFISVEC-SA?DE ;?92911056000116 ;"382639"
AFISVEC-SAÚDE; 92911056000116;"382639"
AFM - Associação dos Funcionários Municipais de Porto Alegre;"92831163000134";"000001"
AFPCESP - ASSOCIACAO POLICIA CIVIL DO EST. SP;"111111111111111111";"000000"
AFPES;"28483261000129 ";"394271"
AFPESP;;"000000"
AFPESP - Associação dos Funcionários Públicos do Estado de São Paulo;"02306511100081";-
AFPESP REEMBOLSO;"";"000003"
AFRAFEP - SAUDE;"09306242000182 ";"330281"
AFRAFEP SAUDE;;"330281"
